index,Village_Area_Name,Beat Number,No of Crimes in Each Beat,UNITS,ASI,CHC,CPC,Crime Severity Weights of Beat
0,KAMATAGI,13,25,"SP, BAGALKOTE",111,331,660,15.0
6,SULEBAVI,6,24,"SP, BAGALKOTE",111,331,660,15.0
12,MADAPUR,16,23,"SP, BAGALKOTE",111,331,660,15.0
18,AMINAGAD,1,29,"SP, BAGALKOTE",111,331,660,15.0
24,AIHOLE,3,20,"SP, BAGALKOTE",111,331,660,11.0
29,DAMMUR,28,18,"SP, BAGALKOTE",111,331,660,15.0
35,GUDUR,21,28,"SP, BAGALKOTE",111,331,660,15.0
41,UPANAL,24,19,"SP, BAGALKOTE",111,331,660,15.0
47,KAMATAGI ONE,11,17,"SP, BAGALKOTE",111,331,660,15.0
53,BASARIKATTI,14,2,"SP, BAGALKOTE",111,331,660,7.0
55,KYADIGERI,5,3,"SP, BAGALKOTE",111,331,660,10.0
58,MURUDI,23,10,"SP, BAGALKOTE",111,331,660,11.0
63,DAMMUR,29,5,"SP, BAGALKOTE",111,331,660,10.0
67,CHIKKAMAGI,15,8,"SP, BAGALKOTE",111,331,660,14.0
72,BASANAL,20,6,"SP, BAGALKOTE",111,331,660,6.0
75,RAMATHAL,10,15,"SP, BAGALKOTE",111,331,660,11.0
80,SIDDANAKOLLA,26,3,"SP, BAGALKOTE",111,331,660,5.0
83,KELUR,27,8,"SP, BAGALKOTE",111,331,660,10.0
87,KALLIGUDDA,9,2,"SP, BAGALKOTE",111,331,660,7.0
89,AIHOLE,8,13,"SP, BAGALKOTE",111,331,660,14.0
94,RAKKASAGI,7,6,"SP, BAGALKOTE",111,331,660,10.0
98,SULEBHAVI TWO,4,6,"SP, BAGALKOTE",111,331,660,10.0
102,BENAL,18,3,"SP, BAGALKOTE",111,331,660,8.0
105,MADAPUR,17,1,"SP, BAGALKOTE",111,331,660,5.0
106,AMBLIKOPPA,19,2,"SP, BAGALKOTE",111,331,660,5.0
108,BENAKANAWARI,30,4,"SP, BAGALKOTE",111,331,660,8.0
110,UPNAL,25,1,"SP, BAGALKOTE",111,331,660,1.0
111,ADAGAL,6,27,"SP, BAGALKOTE",111,331,660,15.0
117,NAVILOHOLE,5,28,"SP, BAGALKOTE",111,331,660,15.0
123,HIRENASIBI,4,49,"SP, BAGALKOTE",111,331,660,30.0
135,YARAGOPPA,2,76,"SP, BAGALKOTE",111,331,660,45.0
153,NEERALAGI,3,56,"SP, BAGALKOTE",111,331,660,30.0
165,LAKHAMAPUR,1,67,"SP, BAGALKOTE",111,331,660,45.0
183,OTHER,OTHER,7,"SP, BAGALKOTE",111,331,660,14.0
187,Hunagund ps limits,Hunagund ps,3,"SP, BAGALKOTE",111,331,660,6.0
189,Banahatti Twon,Banahatti PS LIMITS,4,"SP, BAGALKOTE",111,331,660,9.0
192,Kulageri Village,Badami ps,3,"SP, BAGALKOTE",111,331,660,5.0
194,Shikkeri Village,Bagalkot RL,4,"SP, BAGALKOTE",111,331,660,6.0
196,Bagalkot Navanagar,Bagalkot Navanagar,4,"SP, BAGALKOTE",111,331,660,9.0
199,Gaddanakeri LT,Gaddanakeri LT,1,"SP, BAGALKOTE",111,331,660,2.0
200,Lokapur p.s Limits,Lokapur,3,"SP, BAGALKOTE",111,331,660,9.0
203,Kerur P.S,KERUR PS,4,"SP, BAGALKOTE",111,331,660,9.0
206,MAHALINGAPUR STATION LIMITS,MAHALINGAPUR PS LIMITS,2,"SP, BAGALKOTE",111,331,660,7.0
208,Aminagad PS Limits,Aminagad PS Limits,3,"SP, BAGALKOTE",111,331,660,9.0
211,BILAGI PS LIMITS,BILAGI PS LIMITS,5,"SP, BAGALKOTE",111,331,660,9.0
214,BAGALKOT TOWN LIMITS,BAGALKOT TOWN PS LIMITS,4,"SP, BAGALKOTE",111,331,660,9.0
217,NAVANAGAR PS LIMITS,NAVANAGAR PS LIMITS,6,"SP, BAGALKOTE",111,331,660,9.0
220,JAMAKHANDI TOWN PS LIMITS,JAMAKHANDI TOWN PS LIMITS,3,"SP, BAGALKOTE",111,331,660,9.0
223,GULEDAGUDDA PS LIMITS,GULEDAGUDDA PS LIMITS,3,"SP, BAGALKOTE",111,331,660,6.0
225,MUDHOL PS LIMITS,MUDHOL PS LIMITS,3,"SP, BAGALKOTE",111,331,660,9.0
228,KALADAGI PS LIMITS,KALADAGI PS LIMITS,2,"SP, BAGALKOTE",111,331,660,6.0
230,BADAMI PS LIMITS,BADAMI PS LIMITS,3,"SP, BAGALKOTE",111,331,660,6.0
232,JAMAKHANDI RURAL PS LIMITS,JAMAKHANDI RURAL PS LIMITS,1,"SP, BAGALKOTE",111,331,660,4.0
233,Ilkal Town PS Limits,Ilkal TOWN PS Limits,3,"SP, BAGALKOTE",111,331,660,9.0
236,Teradal PS Limits,Teradal PS Limits,1,"SP, BAGALKOTE",111,331,660,4.0
237,BILKERUR,2,82,"SP, BAGALKOTE",111,331,660,45.0
255,VEERAPUR,4,33,"SP, BAGALKOTE",111,331,660,15.0
261,SANGONDI,3,22,"SP, BAGALKOTE",111,331,660,15.0
267,SHIGIKERI,6,30,"SP, BAGALKOTE",111,331,660,15.0
273,BHAGAVATI,5,25,"SP, BAGALKOTE",111,331,660,14.0
278,BODANAYAKANADINNI,1,81,"SP, BAGALKOTE",111,331,660,44.0
295,LAXMI NAGARA,3,31,"SP, BAGALKOTE",111,331,660,15.0
301,ARAVIND LIMBAVALI HOUSE,2,15,"SP, BAGALKOTE",111,331,660,15.0
307,HARANASHIKARI KALANI,4,32,"SP, BAGALKOTE",111,331,660,15.0
313,BASAVESHWAR COLLEGE,5,28,"SP, BAGALKOTE",111,331,660,15.0
319,VENKATAPET,7,29,"SP, BAGALKOTE",111,331,660,15.0
325,KOULPET,6,26,"SP, BAGALKOTE",111,331,660,15.0
331,JAYANAGARA,1,20,"SP, BAGALKOTE",111,331,660,15.0
337,Maharashtra State Pune Dist Navasari Daba,Other,3,"SP, BAGALKOTE",111,331,660,9.0
339,Aslambaba Adda,8,7,"SP, BAGALKOTE",111,331,660,14.0
344,HUBBLI BY PASS ROAD,NAVANAGAR,3,"SP, BAGALKOTE",111,331,660,3.0
345,BE COLLEGE CROSS TO VIDYAGIRI BY PASS ROAD,VIDYAGIRI,2,"SP, BAGALKOTE",111,331,660,3.0
346,BAGALKOT KALADAGI RAOD,BAGALKOT OLD CITY,3,"SP, BAGALKOTE",111,331,660,8.0
348,KARADIGUDD,BADAMI PS,3,"SP, BAGALKOTE",111,331,660,9.0
350,NAVANAGAR,NAVANAGAR PS,12,"SP, BAGALKOTE",111,331,660,11.0
353,SHIROL,MUDHOL PS,1,"SP, BAGALKOTE",111,331,660,5.0
354,BUDIHAL,BILAGI PS,4,"SP, BAGALKOTE",111,331,660,5.0
355,JADRAMAKUNTI,BAGALKOT RURAL PS,7,"SP, BAGALKOTE",111,331,660,12.0
359,Tallikari,AMINAGAD PS,3,"SP, BAGALKOTE",111,331,660,5.0
360,BIDARI RC,SAVALAGI PS,1,"SP, BAGALKOTE",111,331,660,5.0
361,OLD BAGALKOT,BAGALKOT TOWN PS,7,"SP, BAGALKOTE",111,331,660,12.0
365,GULEDAGUDDA,GULEDAGUDD PS,1,"SP, BAGALKOTE",111,331,660,5.0
366,JAMAKANDI,JAMAKANDI TOWN PS,2,"SP, BAGALKOTE",111,331,660,5.0
367,HUNUGUND,HUNAGUND PS,2,"SP, BAGALKOTE",111,331,660,9.0
369,MURNAL R C,KALADAGI PS,3,"SP, BAGALKOTE",111,331,660,6.0
371,KONNUR,JAMAKHANDI TOWN & RURAL PS,1,"SP, BAGALKOTE",111,331,660,5.0
372,Hosur Village,4,50,"SP, BAGALKOTE",111,331,660,30.0
384,K H D C COLONY,3,56,"SP, BAGALKOTE",111,331,660,26.0
395,Jagadal Village,2,50,"SP, BAGALKOTE",111,331,660,29.0
406,Chimmad Village,1,55,"SP, BAGALKOTE",111,331,660,26.0
417,HIPPARAGI VILLAGE,46,11,"SP, BAGALKOTE",111,331,660,11.0
422,HIPPARAGI VILLAGE,45,2,"SP, BAGALKOTE",111,331,660,8.0
424,GANDI NAGAR,2,83,"SP, BAGALKOTE",111,331,660,45.0
442,GALAGALI,1,96,"SP, BAGALKOTE",111,331,660,45.0
460,TOLAMATTI,3,26,"SP, BAGALKOTE",111,331,660,15.0
466,JANAMATTI,5,27,"SP, BAGALKOTE",111,331,660,15.0
472,ANAGAWADI,4,30,"SP, BAGALKOTE",111,331,660,15.0
478,Other,Other,3,"SP, BAGALKOTE",111,331,660,9.0
480,Lingapur,04,26,"SP, BAGALKOTE",111,331,660,15.0
486,NEGLI PETE,01,54,"SP, BAGALKOTE",111,331,660,30.0
498,KERE KHANAPUR,03,24,"SP, BAGALKOTE",111,331,660,15.0
504,HOSA PETE,02,55,"SP, BAGALKOTE",111,331,660,30.0
516,Shahapur,OUT OF PS,1,"SP, BAGALKOTE",111,331,660,5.0
517,BEVINAMATTI,1,31,"SP, BAGALKOTE",111,331,660,15.0
523,AMARAVTI,8,24,"SP, BAGALKOTE",111,331,660,15.0
529,CHOUDAKAMALADINNI,10,30,"SP, BAGALKOTE",111,331,660,15.0
535,TIMMAPUR,5,23,"SP, BAGALKOTE",111,331,660,15.0
541,KOUJAGANUR,7,13,"SP, BAGALKOTE",111,331,660,11.0
546,HUVANUR,11,22,"SP, BAGALKOTE",111,331,660,15.0
552,MAHANT NAGAR,3,27,"SP, BAGALKOTE",111,331,660,15.0
558,BELGAL,6,23,"SP, BAGALKOTE",111,331,660,15.0
564,NAGUR,9,22,"SP, BAGALKOTE",111,331,660,11.0
569,KENGAL,12,19,"SP, BAGALKOTE",111,331,660,15.0
575,MANNAPUR STREET,2,18,"SP, BAGALKOTE",111,331,660,14.0
580,BEVINAMATTI,4,16,"SP, BAGALKOTE",111,331,660,11.0
585,GUMAGERA,OTHERSS,2,"SP, BAGALKOTE",111,331,660,6.0
587,KULAKARNIPETH HOSAPETH GALLI,2,52,"SP, BAGALKOTE",111,331,660,39.0
601,KANAKANAGAR ILKAL,4,37,"SP, BAGALKOTE",111,331,660,25.0
611,BALAKUNDI,1,60,"SP, BAGALKOTE",111,331,660,36.0
626,BANNIKATTI ILKAL,3,47,"SP, BAGALKOTE",111,331,660,30.0
638,GADISUNKAPUR,5,7,"SP, BAGALKOTE",111,331,660,14.0
643,KARADI,8,6,"SP, BAGALKOTE",111,331,660,10.0
647,TARIWAL,6,7,"SP, BAGALKOTE",111,331,660,10.0
650,JALAKAMALADINNI,7,4,"SP, BAGALKOTE",111,331,660,10.0
653,TARIWAL,6,13,"SP, BAGALKOTE",111,331,660,15.0
